000000	情况
000001	前途
000002	形势
000003	局势
000004	动态
000005	形态
000006	声势
000007	优势
000008	现实
000009	实际
000010	定局
000011	局面
000012	局部
000013	部分
000014	过渡
000015	标志
000016	目标
000017	目的
000018	意义
000019	结果
000020	作用
000021	用途
000022	功能
000023	环节
000024	头绪
000025	公益
000026	利益
000027	成效（成功）
000028	效益
000029	有效
000030	程度
000031	进度
000032	象征
000033	根源
000034	体现
000035	普及
000036	提高
000037	利用
000038	引导
000039	开展
000040	发展
000041	发挥
000042	发动
000043	发生
000044	出现
000045	成立（建立）
000046	形成
000047	构成
000048	实行
000049	转折（拐弯）
000050	扭转
000051	好转
000052	改善（改良）
000053	搞清
000054	承受
000055	摆脱
000056	解除
000057	解散
000058	放弃（放）
000059	废除
000060	民主
000061	自由
000062	集中
000063	安定
000064	团结
000065	庄严
000066	热闹
000067	富裕
000068	富强
000069	丰富
000070	小康
000071	和睦
000072	幸福
000073	吉祥
000074	安静
000075	寂静
000076	孤立
000077	贫苦
000078	禁止
000079	反复（重复）
000080	延长
000081	耽误
000082	避免
000083	专门
000084	圆满
000085	困难
000086	容易
000087	紧张
000088	稳定
000089	基础（根据）
000090	基本
000091	加强
000092	详细
000093	保留
000094	安全
000095	危害
000096	升
000097	降
000098	涨
000099	落
000100	来
000101	去（出）
000102	到
000103	晒
000104	醒
000105	有
000106	没有（无）
000107	是
000108	不是
000109	属于
000110	小
000111	多
000112	少
000113	长
000114	短
000115	高
000116	矮（低）
000117	远
000118	近
000119	宽（宽广）
000120	窄（狭）
000121	粗
000122	细（细致）
000123	厚
000124	薄
000125	轻
000126	重
000127	沉重
000128	硬
000129	软
000130	深
000131	浅
000132	快
000133	慢
000134	冷
000135	热（汗）
000136	暖（温暖、暖和）
000137	胖（肥）
000138	瘦
000139	饱
000140	饿
000141	满
000142	新
000143	旧
000144	好
000145	坏
000146	差（劣）
000147	漏（滴）
000148	真
000149	假
000150	美
000151	丑
000152	正
000153	歪（倾向）
000154	直
000155	曲（曲折）
000156	平（平等）
000157	皱
000158	褶子
000159	干
000160	温
000161	单
000162	双
000163	疏
000164	密
000165	密集
000166	空
000167	实
000168	紧
000169	松
000170	胀
000171	缩
000172	强
000173	弱
000174	浓
000175	淡
000176	清淡
000177	嫩
000178	老
000179	尖（锋利、尖锐）
000180	钝（秃）
000181	破
000182	缺
000183	偏
000184	扁（瘪）
000185	韧
000186	颜色（彩色）
000187	红
000188	橙色
000189	黄
000190	绿
000191	碧绿
000192	青
000193	蓝
000194	紫
000195	褐色
000196	灰
000197	棕
000198	黑
000199	白
000200	嫂嫂
000201	姐姐
000202	姐夫
000203	弟弟
000204	妹妹
000205	宝贝
000206	儿子（男孩）
000207	女儿（女孩）
000208	孙子
000209	孙女
000210	阿姨
000211	表哥
000212	丈夫
000213	妻子
000214	夫人
000215	职业
000216	工人
000217	矿工
000218	农民
000219	牧民
000220	小孩儿（儿童、少年）
000221	青年
000222	成年人（大人）
000223	老人
000224	残疾人
000225	聋人
000226	盲人
000227	肢残人
000228	弱智人
000229	祖父（爷爷）
000230	祖母（奶奶）
000231	外祖父（外公）
000232	外祖母（外婆）
000233	爸爸
000234	妈妈
